No.,問題,答え,新規,pass,正解数,不正解数,経過日数,連続日数,優先度
59,Glasses , 眼鏡  ,1,0,0,0,0,0,0
60,bus, バス,1,0,0,0,0,0,0
61,car, 車,1,0,0,0,0,0,0
62,clock, 時計,1,0,0,0,0,0,0
63,Yorkshire pudding , ヨークシャープディング  ,1,0,0,0,0,0,0
64,Quixotic, 非現実的な／空想的な,1,0,0,0,0,0,0
65,apple, りんご,1,0,0,0,0,0,0
66,Reinforcement, 補強材,1,0,0,0,0,0,0
67,Trousers , ズボン  ,1,0,0,0,0,0,0
68,Ineffable, 言葉にできない,1,0,0,0,0,0,0
69,account, 口座,1,0,0,0,0,0,0
70,author, 著者,1,0,0,0,0,0,0
71,Invoice, 請求書,1,0,0,0,0,0,0
72,Bus rapid transit, バス高速輸送システム,1,0,0,0,0,0,0
73, Smart city, スマートシティ,1,0,0,0,0,0,0
74, sweets, お菓子,1,0,0,0,0,0,0
75,Flabbergasted, 仰天した,1,0,0,0,0,0,0
76,Vendor, 販売業者／供給業者,1,0,0,0,0,0,0
77, Placemaking, プレイスメイキング（地域空間創造）,1,0,0,0,0,0,0
78,Roundabout , 環状交差点  ,1,0,0,0,0,0,0
79, Master plan, マスタープラン,1,0,0,0,0,0,0
80,Keys , 鍵  ,1,0,0,0,0,0,0
81,answer, 答え,1,0,0,0,0,0,0
82,Supplier, 供給者,1,0,0,0,0,0,0
83,Stakeholder, 利害関係者,1,0,0,0,0,0,0
84,Liability, 負債／債務,1,0,0,0,0,0,0
85,Belligerent, 好戦的な,1,0,0,0,0,0,0
86,Leaf , 葉  ,1,0,0,0,0,0,0
87,Capital, 資本／本資金,1,0,0,0,0,0,0
88,Embankment, 盛土／土手,1,0,0,0,0,0,0
89,Forest , 森  ,1,0,0,0,0,0,0
90,Quotation, 見積書,1,0,0,0,0,0,0
91,baby, 赤ちゃん,1,0,0,0,0,0,0
92,Watch , 腕時計  ,1,0,0,0,0,0,0
93,Path , 小道  ,1,0,0,0,0,0,0
94,Mouse , マウス  ,1,0,0,0,0,0,0
95,Socks , 靴下  ,1,0,0,0,0,0,0
96,Credit, 信用／与信,1,0,0,0,0,0,0
97, Pedestrianisation, 歩行者専用化,1,0,0,0,0,0,0
98, Tram, 路面電車,1,0,0,0,0,0,0
99,Kettle , やかん  ,1,0,0,0,0,0,0
100,Fastidious, 細かいことにこだわる,1,0,0,0,0,0,0
101,Warranty, 保証,1,0,0,0,0,0,0
102,Dividend, 配当金,1,0,0,0,0,0,0
103,Turnover, 売上高／人事異動,1,0,0,0,0,0,0
104,Allocate, 割り当てる,1,0,0,0,0,0,0
105,Smart city, スマートシティ,1,0,0,0,0,0,0
106,body, 体,1,0,0,0,0,0,0
107,Schedule, 予定／日程表,1,0,0,0,0,0,0
108,Router , ルーター,1,0,0,0,0,0,0
109,Coat , 上着  ,1,0,0,0,0,0,0
110,Stapler , ホチキス  ,1,0,0,0,0,0,0
111,ball, ボール,1,0,0,0,0,0,0
112,Hat , 帽子  ,1,0,0,0,0,0,0
113,Zebra crossing , 横断歩道  ,1,0,0,0,0,0,0
114, trainers, 運動靴,1,0,0,0,0,0,0
115,Expense, 費用,1,0,0,0,0,0,0
116, lift, エレベーター,1,0,0,0,0,0,0
117,button, ボタン,1,0,0,0,0,0,0
118, lorry, トラック,1,0,0,0,0,0,0
119,Zealous, 熱心な,1,0,0,0,0,0,0
120,Bridge, 橋,1,0,0,0,0,0,0
121,cat, 猫,1,0,0,0,0,0,0
122,Fiscal, 財政の／会計年度の,1,0,0,0,0,0,0
123,Raincoat , レインコート  ,1,0,0,0,0,0,0
124,Toaster , トースター  ,1,0,0,0,0,0,0
125,building, 建物,1,0,0,0,0,0,0
126,Biscuit , ビスケット  ,1,0,0,0,0,0,0
127,Vehement, 熱烈な／激しい,1,0,0,0,0,0,0
128,Sun cream , 日焼け止め  ,1,0,0,0,0,0,0
129,Pond , 池  ,1,0,0,0,0,0,0
130,Mixed-use development, 複合用途開発,1,0,0,0,0,0,0
131,Profit, 利益,1,0,0,0,0,0,0
132,Annual, 年間の／毎年の,1,0,0,0,0,0,0
133,Blackcurrant juice , 黒スグリジュース  ,1,0,0,0,0,0,0
134,Restructure, 再編成する／再構築する,1,0,0,0,0,0,0
135,Culvert, 排水溝,1,0,0,0,0,0,0
136, Fare, 運賃,1,0,0,0,0,0,0
137,Budget, 予算,1,0,0,0,0,0,0
138,base, 基盤,1,0,0,0,0,0,0
139,Negotiation, 交渉,1,0,0,0,0,0,0
140,Charger , 充電器  ,1,0,0,0,0,0,0
141,Structural integrity, 構造的完全性,1,0,0,0,0,0,0
142,Traffic flow, 交通流,1,0,0,0,0,0,0
143, Underground, 地下鉄,1,0,0,0,0,0,0
144, Urban sprawl, 都市拡散（無秩序な都市の拡大）,1,0,0,0,0,0,0
145,Mundane, 平凡な,1,0,0,0,0,0,0
146,Meticulous, 細心の注意を払う,1,0,0,0,0,0,0
147,Workforce, 労働力／従業員全体,1,0,0,0,0,0,0
148,Drainage, 排水システム,1,0,0,0,0,0,0
149, queue, 列,1,0,0,0,0,0,0
150,Printer , プリンター  ,1,0,0,0,0,0,0
151,airport, 空港,1,0,0,0,0,0,0
152,Contract, 契約,1,0,0,0,0,0,0
153,Tram, 路面電車,1,0,0,0,0,0,0
154,Crisps , ポテトチップス  ,1,0,0,0,0,0,0
155,Pavement , 歩道  ,1,0,0,0,0,0,0
156,Wistful, 切なく思い悩む,1,0,0,0,0,0,0
157,Tea , 紅茶  ,1,0,0,0,0,0,0
158, Accessibility, バリアフリー（アクセスの容易さ）,1,0,0,0,0,0,0
159,Benevolent, 慈悲深い,1,0,0,0,0,0,0
160, petrol, ガソリン,1,0,0,0,0,0,0
161,Viaduct, 高架橋,1,0,0,0,0,0,0
162,Secondary school , 中学校  ,1,0,0,0,0,0,0
163,Accessibility, バリアフリー／アクセスの容易さ,1,0,0,0,0,0,0
164,Dress , ドレス  ,1,0,0,0,0,0,0
165,Resilient, 回復力のある,1,0,0,0,0,0,0
166,Scone , スコーン  ,1,0,0,0,0,0,0
167,Serendipity, 幸運な偶然,1,0,0,0,0,0,0
168,Public transport, 公共交通,1,0,0,0,0,0,0
169,Scarf , マフラー  ,1,0,0,0,0,0,0
170,Ruler , 定規  ,1,0,0,0,0,0,0
171,air, 空気,1,0,0,0,0,0,0
172,Corporation, 企業／法人,1,0,0,0,0,0,0
173,Commodity, 商品,1,0,0,0,0,0,0
174,Benefit, 利益／恩恵,1,0,0,0,0,0,0
175, torch, 懐中電灯,1,0,0,0,0,0,0
176,Gregarious, 社交的な,1,0,0,0,0,0,0
177,beginning, 始まり,1,0,0,0,0,0,0
178,Computer , コンピューター  ,1,0,0,0,0,0,0
179,Ephemeral, 一時的な,1,0,0,0,0,0,0
180, chemist, 薬局,1,0,0,0,0,0,0
181,Tissues , ティッシュ  ,1,0,0,0,0,0,0
182,Regulation, 規制,1,0,0,0,0,0,0
183,Bus , バス  ,1,0,0,0,0,0,0
184,Elucidate, 明確にする／解明する,1,0,0,0,0,0,0
185,Mince pie , ミンスパイ  ,1,0,0,0,0,0,0
186,Contracting, 請負契約,1,0,0,0,0,0,0
187,Esoteric, 難解な,1,0,0,0,0,0,0
188, Coach, 長距離バス,1,0,0,0,0,0,0
189,Deadline, 締切,1,0,0,0,0,0,0
190, rubbish, ゴミ,1,0,0,0,0,0,0
191,Substructure, 下部構造,1,0,0,0,0,0,0
192,Enterprise, 事業／企業,1,0,0,0,0,0,0
193,Surveying, 測量,1,0,0,0,0,0,0
194,bank, 銀行,1,0,0,0,0,0,0
195,Windbreaker , ウィンドブレーカー  ,1,0,0,0,0,0,0
196,Lorry , トラック  ,1,0,0,0,0,0,0
197,Net income, 純利益,1,0,0,0,0,0,0
198,action, 行動,1,0,0,0,0,0,0
199,Nebulous, 漠然とした,1,0,0,0,0,0,0
200,Conundrum, 難問,1,0,0,0,0,0,0
201,Arduous, 骨の折れる,1,0,0,0,0,0,0
202, Smartcard, スマートカード,1,0,0,0,0,0,0
203,Outsource, 外部委託する,1,0,0,0,0,0,0
204, biscuit, ビスケット,1,0,0,0,0,0,0
205,city, 都市,1,0,0,0,0,0,0
206,Paper clips , クリップ  ,1,0,0,0,0,0,0
207,Acquiesce, 黙認する／従う,1,0,0,0,0,0,0
208,Petrol station , ガソリンスタンド  ,1,0,0,0,0,0,0
209,Autumn , 秋  ,1,0,0,0,0,0,0
210,Screen , 画面  ,1,0,0,0,0,0,0
211,Primary school , 小学校  ,1,0,0,0,0,0,0
212,Strategy, 戦略,1,0,0,0,0,0,0
213,Pavement, 舗装,1,0,0,0,0,0,0
214,area, 地域,1,0,0,0,0,0,0
215,ambulance, 救急車,1,0,0,0,0,0,0
216,Column, 柱,1,0,0,0,0,0,0
217,Anomaly, 異常,1,0,0,0,0,0,0
218,Folder , フォルダー  ,1,0,0,0,0,0,0
219,Promotion, 昇進／販促活動,1,0,0,0,0,0,0
220,bar, バー,1,0,0,0,0,0,0
221,Roundabout, 環状交差点,1,0,0,0,0,0,0
222,Wellington boots , ウェリントンブーツ  ,1,0,0,0,0,0,0
223,Soporific, 眠気を誘う,1,0,0,0,0,0,0
224,Train , 電車  ,1,0,0,0,0,0,0
225,bird, 鳥,1,0,0,0,0,0,0
226,Subsidy, 補助金,1,0,0,0,0,0,0
227,Capricious, 気まぐれな,1,0,0,0,0,0,0
228,Perfunctory, 形だけの,1,0,0,0,0,0,0
229,Pedestrianisation, 歩行者専用化,1,0,0,0,0,0,0
230,Ostentatious, 見せびらかすような,1,0,0,0,0,0,0
231,boy, 男の子,1,0,0,0,0,0,0
232,class, 授業,1,0,0,0,0,0,0
233,Egregious, 甚だしい／とんでもなく悪い,1,0,0,0,0,0,0
234,ability, 能力,1,0,0,0,0,0,0
235,Fish and chips , フィッシュアンドチップス  ,1,0,0,0,0,0,0
236,Target, 目標／狙い,1,0,0,0,0,0,0
237,Waterproof jacket , 防水ジャケット  ,1,0,0,0,0,0,0
238,Roast dinner , ローストディナー  ,1,0,0,0,0,0,0
239,Construction management, 建設管理,1,0,0,0,0,0,0
240,Overpass, 高架道路,1,0,0,0,0,0,0
241,Underground , 地下鉄  ,1,0,0,0,0,0,0
242, Gentrification, ジェントリフィケーション（高級住宅化現象）,1,0,0,0,0,0,0
243,Purchase, 購入する／調達,1,0,0,0,0,0,0
244, mobile, 携帯電話,1,0,0,0,0,0,0
245,activity, 活動,1,0,0,0,0,0,0
246,Inventory, 在庫,1,0,0,0,0,0,0
247,Redevelopment, 再開発,1,0,0,0,0,0,0
248,back, 背中,1,0,0,0,0,0,0
249,Laptop , ノートパソコン  ,1,0,0,0,0,0,0
250,Lift , エレベーター  ,1,0,0,0,0,0,0
251,Sustainability, 持続可能性,1,0,0,0,0,0,0
252,Forecast, 予測する／予報,1,0,0,0,0,0,0
253,bread, パン,1,0,0,0,0,0,0
254,Load-bearing, 耐荷重の,1,0,0,0,0,0,0
255,Pen , ペン  ,1,0,0,0,0,0,0
256, flat, アパート,1,0,0,0,0,0,0
257,Geotechnical engineering, 地盤工学,1,0,0,0,0,0,0
258,Fund, 資金／基金,1,0,0,0,0,0,0
259,Revenue, 収入／売上高,1,0,0,0,0,0,0
260,Thermos , 魔法瓶  ,1,0,0,0,0,0,0
261,Harangue, 熱弁する／長々と説教する,1,0,0,0,0,0,0
262,Perspicacious, 洞察力のある,1,0,0,0,0,0,0
263, Zoning, 用途地域区分,1,0,0,0,0,0,0
264,bottle, ボトル,1,0,0,0,0,0,0
265,Lemonade , レモネード  ,1,0,0,0,0,0,0
266,card, カード,1,0,0,0,0,0,0
267,Retaining wall, 擁壁,1,0,0,0,0,0,0
268, Mixed-use development, 複合用途開発,1,0,0,0,0,0,0
269,arrival, 到着,1,0,0,0,0,0,0
270, car park, 駐車場,1,0,0,0,0,0,0
271,Proclivity, 傾向,1,0,0,0,0,0,0
272,Asset, 資産,1,0,0,0,0,0,0
273,adult, 大人,1,0,0,0,0,0,0
274,artist, 芸術家,1,0,0,0,0,0,0
275,De-icer ,?除氷装置,1,0,0,0,0,0,0
276, Transit-oriented development, 交通指向型開発,1,0,0,0,0,0,0
277,Washing machine , 洗濯機  ,1,0,0,0,0,0,0
278,Boots , ブーツ  ,1,0,0,0,0,0,0
279, Urban planning, 都市計画,1,0,0,0,0,0,0
280,Infrastructure, インフラ／基盤整備,1,0,0,0,0,0,0
281,Merger, 合併,1,0,0,0,0,0,0
282, Sustainable development, 持続可能な開発,1,0,0,0,0,0,0
283, bonnet, ボンネット,1,0,0,0,0,0,0
284, post, 郵便,1,0,0,0,0,0,0
285,Obfuscate, 分かりにくくする,1,0,0,0,0,0,0
286,Desk , 机  ,1,0,0,0,0,0,0
287,Intersection, 交差点,1,0,0,0,0,0,0
288,Placemaking, 地域空間創造,1,0,0,0,0,0,0
289,Gloves , 手袋  ,1,0,0,0,0,0,0
290,Fridge , 冷蔵庫  ,1,0,0,0,0,0,0
291,Employee, 従業員,1,0,0,0,0,0,0
292,bed, ベッド,1,0,0,0,0,0,0
293, Bus rapid transit, バス高速輸送システム,1,0,0,0,0,0,0
294,Keyboard , キーボード  ,1,0,0,0,0,0,0
295,Environmental impact, 環境影響,1,0,0,0,0,0,0
296,Cost estimation, コスト見積もり,1,0,0,0,0,0,0
297,Efficiency, 効率,1,0,0,0,0,0,0
298,Amendment, 修正／改正,1,0,0,0,0,0,0
299, Interchange, 乗り換え施設,1,0,0,0,0,0,0
300,Customer, 顧客,1,0,0,0,0,0,0
301,Aggregate, 骨材,1,0,0,0,0,0,0
302,Umbrella , 傘  ,1,0,0,0,0,0,0
303, holiday, 休暇,1,0,0,0,0,0,0
304,Pencil case , 筆箱  ,1,0,0,0,0,0,0
305,brother, 兄弟,1,0,0,0,0,0,0
306,Foundation, 基礎,1,0,0,0,0,0,0
307,Bin , ごみ箱  ,1,0,0,0,0,0,0
308,Homework , 宿題  ,1,0,0,0,0,0,0
309,Diary , スケジュール帳  ,1,0,0,0,0,0,0
310,Sofa , ソファ  ,1,0,0,0,0,0,0
311,Bicycle , 自転車  ,1,0,0,0,0,0,0
312,Audit, 監査する／監査,1,0,0,0,0,0,0
313,Grading, 路盤整備／整地工事,1,0,0,0,0,0,0
314,Sunglasses , サングラス  ,1,0,0,0,0,0,0
315,address, 住所,1,0,0,0,0,0,0
316,chair, 椅子,1,0,0,0,0,0,0
317,Dichotomy, 二分法,1,0,0,0,0,0,0
318,age, 年齢,1,0,0,0,0,0,0
319,Diary , 日記帳  ,1,0,0,0,0,0,0
320,Commuter rail, 通勤鉄道,1,0,0,0,0,0,0
321,Jumper , セーター  ,1,0,0,0,0,0,0
322,child, 子供,1,0,0,0,0,0,0
323,Enigmatic, 謎めいた,1,0,0,0,0,0,0
324, Timetable, 時刻表,1,0,0,0,0,0,0
325,Thermal socks , 防寒靴下  ,1,0,0,0,0,0,0
326,Bin , ゴミ箱  ,1,0,0,0,0,0,0
327,Intransigent, 妥協しない,1,0,0,0,0,0,0
328,Asphalt, アスファルト,1,0,0,0,0,0,0
329,Arbitrage,裁定取引,1,0,0,0,0,0,0
330,Disintermediation,仲介者排除,1,0,0,0,0,0,0
